position,positionStringShort,name,positionRow,isCaptain,rating,fantasyScore,minutesPlayed,isGoalkeeper,goal,assist,subbedOutTime,yellowCard,redCard,total_shots,accurate_passes_rate(%),chances_created,expected_goals(xG),expected_goals_on_target(xGOT),expected_assists(xA),xG+xA,shot_accuracy(%),blocked_shots,touches,touches_in_opposition_box,passes_into_final_third,long_balls_accuracy(%),dispossessed,xG_Non_penalty,tackles_won_rate(%),clearances,headed_clearance,defensive_actions,recoveries,dribbled_past,duels_won,duels_lost,ground_duels_won_rate(%),aerial_duels_won_rate(%),was_fouled,fouls_commited,dribble_success_rate(%),penalties_won,big_chances_missed,crosses_success_rate(%)
Keeper,GK,James Trafford,0,FALSE,6.5,2,90,TRUE,0,0,,0,0,0,70,0,0,0,0,0,0,0,59,0,0,43,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0
Defender,RB,Connor Roberts,1,FALSE,5.9,1,90,FALSE,0,0,,0,0,0,87,0,0,0,0.01,0.01,0,0,51,0,4,75,0,0,50,1,1,4,3,0,3,1,67,100,0,1,0,0,0,0
Defender,CB,Ameen Al Dakhil,1,FALSE,5.6,1,90,FALSE,0,0,,0,0,0,83,0,0,0,0.01,0.01,0,0,51,0,5,75,1,0,50,4,4,9,4,1,5,6,50,40,1,1,0,0,0,0
Defender,CB,Dara O'Shea,1,FALSE,5.8,1,90,FALSE,0,0,,0,0,0,75,0,0,0,0,0,0,0,63,0,3,50,0,0,0,1,0,4,6,0,3,2,100,50,1,0,0,0,0,0
Defender,CB,Jordan Beyer,1,FALSE,6.9,1,74,FALSE,0,0,74,0,0,0,80,0,0,0,0,0,0,0,50,0,3,17,0,0,100,4,3,13,2,0,5,2,67,100,0,1,0,0,0,0
Defender,LB,Vitinho,1,FALSE,5.6,1,90,FALSE,0,0,,0,0,0,77,1,0,0,0.03,0.03,0,0,32,0,0,0,0,0,0,1,0,4,2,0,1,2,33,0,1,1,0,0,0,0
Midfielder,RM,Luca Koleosho,3,FALSE,6.1,2,61,FALSE,0,0,61,0,0,1,62,2,0.08,0,0.03,0.11,0,0,24,0,2,0,1,0.08,0,0,0,1,5,0,0,5,0,0,0,1,0,0,0,0
Midfielder,CM,Sander Berge,3,FALSE,5.9,2,89,FALSE,0,0,90,0,0,0,82,0,0,0,0,0,0,0,33,0,3,50,0,0,0,0,0,3,3,1,2,3,0,100,0,2,0,0,0,0
Midfielder,CM,Josh Cullen,3,TRUE,6.4,2,90,FALSE,0,0,,0,0,0,88,0,0,0,0.01,0.01,0,0,48,0,2,0,0,0,0,0,0,1,5,1,3,1,75,0,2,0,0,0,0,50
Midfielder,LM,Lyle Foster,3,FALSE,6.4,2,89,FALSE,0,0,90,0,0,2,70,1,0.15,0,0.04,0.19,0,1,39,0,2,50,2,0.15,50,2,2,5,5,0,5,8,38,40,0,1,33,0,0,0
