position,positionStringShort,name,positionRow,isCaptain,rating,fantasyScore,minutesPlayed,isGoalkeeper,goal,assist,subbedOutTime,yellowCard,redCard,total_shots,accurate_passes,chances_created,expected_goals(xG),expected_goals_on_target(xGOT),expected_assists(xA),xG+xA,shot_accuracy,blocked_shots,touches,touches_in_opposition_box,passes_into_final_third,accurate_long_balls,dispossessed,xG_Non_penalty,tackles_won,clearances,headed_clearance,defensive_actions,recoveries,dribbled_past,duels_won,duels_lost,ground_duels_won,aerial_duels_won,was_fouled,fouls_commited,successful_dribbles,penalties_won,big_chances_missed,accurate_crosses
Keeper,GK,Robert Sánchez,0,False,6.2,2,90,True,0,0,,0,0,0,71,0,0,0,0,0,0,0,51,0,0,29,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0
Defender,RB,Reece James,1,True,7.4,4,64,False,0,1,64,0,0,2,82,2,0.09,0.26,0.03,0.12,100,1,49,3,3,75,1,0.09,60,1,1,6,1,2,7,3,67,100,1,0,0,0,0,0
Defender,CB,Axel Disasi,1,False,5.9,0,90,False,0,0,,0,0,0,94,0,0,0,0,0,0,0,82,0,2,50,1,0,100,7,3,9,5,0,1,2,50,0,0,0,0,0,0,0
Defender,CB,Thiago Silva,1,False,7.0,6,90,False,1,0,,0,0,1,93,0,0.07,0.14,0,0.07,100,0,61,1,3,50,0,0.07,0,1,0,3,4,1,1,1,50,0,1,0,0,0,0,0
Defender,LB,Marc Cucurella,1,False,6.1,-1,90,False,0,0,,1,0,0,84,1,0,0,0.01,0.01,0,0,59,0,2,50,0,0,75,2,0,10,2,2,6,4,60,0,2,2,0,0,0,0
Midfielder,DM,Moisés Caicedo,2,False,6.1,1,89,False,0,0,90,1,0,1,88,2,0.03,0,0.01,0.04,0,1,39,0,1,100,0,0.03,100,1,1,5,6,1,2,4,33,0,0,3,100,0,0,0
Midfielder,DM,Enzo Fernández,2,False,6.3,2,64,False,0,0,64,0,0,1,85,0,0.04,0,0.01,0.05,0,1,52,0,5,50,1,0.04,100,1,0,2,4,2,4,3,57,0,2,0,100,0,0,0
Midfielder,RW,Cole Palmer,4,False,7.8,6,90,False,1,0,,1,0,3,79,1,1.31,1.92,0.04,1.35,100,1,52,4,7,100,1,0.52,100,1,0,2,4,1,3,4,50,0,1,0,50,0,1,0
Midfielder,AM,Conor Gallagher,4,False,8.0,8 + 2,90,False,0,1,,0,0,3,95,2,0.1,0.13,0.1,0.2,67,0,61,1,4,75,0,0.1,67,0,0,8,6,1,6,6,50,0,2,5,100,0,0,100
Midfielder,LW,Raheem Sterling,4,False,8.1,6,90,False,1,0,,1,0,2,60,1,0.45,0.95,0.14,0.59,50,0,55,4,1,0,0,0.45,0,1,1,8,8,2,10,12,48,0,3,3,40,0,0,0
Attacker,ST,Nicolas Jackson,5,False,7.6,5,89,False,1,0,90,1,0,3,50,0,0.68,0.7,0.01,0.69,100,1,23,4,1,0,1,0.68,0,1,1,1,1,0,2,3,25,100,0,0,33,0,0,0
Attacker,ST,Erling Haaland,5,False,9.3,13 + 3,90,False,2,1,,0,0,4,91,3,2.03,2.34,0.03,2.06,75,0,21,9,1,100,0,1.24,0,0,0,2,2,0,3,2,50,100,2,2,0,1,2,0
Midfielder,LW,Jérémy Doku,4,False,6.6,0,59,False,0,0,59,1,0,1,71,0,0.09,0.08,0.07,0.16,100,0,30,11,0,0,2,0.09,100,0,0,3,1,1,6,6,50,0,0,1,57,0,0,0
Midfielder,AM,Bernardo Silva,4,False,7.7,5 + 2,90,False,0,1,,0,0,0,92,2,0,0,0.18,0.18,0,0,69,5,4,100,1,0,50,0,0,3,6,1,3,3,50,0,0,1,100,0,0,17
Midfielder,AM,Julián Álvarez,4,False,7.2,5,79,False,0,1,79,0,0,2,89,2,0.15,0.12,0.09,0.24,100,1,50,8,2,100,2,0.15,0,0,0,1,1,0,1,3,25,0,0,1,100,0,0,29
Midfielder,RW,Phil Foden,4,False,7.7,2,90,False,0,0,,0,0,3,91,1,0.17,0.51,0.14,0.31,67,0,61,5,2,0,1,0.17,100,0,0,4,6,1,8,7,53,0,2,0,50,0,0,100
Midfielder,DM,Manuel Akanji,2,False,8.0,6,90,False,1,0,,0,0,1,93,0,0.29,0.29,0.02,0.31,100,0,73,1,9,60,1,0.29,50,2,1,8,5,0,3,1,75,0,1,0,0,0,0,0
Midfielder,DM,Rodri,2,False,8.3,6,90,False,1,0,,1,0,1,88,3,0.03,0.16,0.09,0.12,100,0,91,1,7,80,1,0.03,0,0,0,7,9,3,4,7,36,0,2,3,100,0,0,0
Defender,CB,Josko Gvardiol,1,False,6.0,0,90,False,0,0,,0,0,1,94,0,0.01,0.03,0.02,0.03,100,0,76,1,10,100,1,0.01,33,0,0,6,7,0,5,3,67,50,1,1,0,0,0,0
Defender,CB,Ruben Dias,1,False,6.3,0,90,False,0,0,,0,0,0,90,0,0,0,0.07,0.07,0,0,99,0,9,50,0,0,100,8,3,11,3,2,3,5,33,50,1,2,0,0,0,100
Defender,CB,Kyle Walker,1,True,6.8,0,90,False,0,0,,0,0,1,83,1,0.07,0,0.02,0.09,0,0,70,1,5,0,0,0.07,33,2,0,9,5,1,4,5,44,0,1,3,0,0,0,0
Keeper,GK,Ederson Moraes,0,False,7.4,1,90,True,0,0,,0,0,0,92,0,0,0,0,0,0,0,51,0,0,70,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0
Keeper,GK,Robert Sánchez,0,False,6.2,2,90,True,0,0,,0,0,0,71,0,0,0,0,0,0,0,51,0,0,29,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0
Defender,RB,Reece James,1,True,7.4,4,64,False,0,1,64,0,0,2,82,2,0.09,0.26,0.03,0.12,100,1,49,3,3,75,1,0.09,60,1,1,6,1,2,7,3,67,100,1,0,0,0,0,0
Defender,CB,Axel Disasi,1,False,5.9,0,90,False,0,0,,0,0,0,94,0,0,0,0,0,0,0,82,0,2,50,1,0,100,7,3,9,5,0,1,2,50,0,0,0,0,0,0,0
Defender,CB,Thiago Silva,1,False,7.0,6,90,False,1,0,,0,0,1,93,0,0.07,0.14,0,0.07,100,0,61,1,3,50,0,0.07,0,1,0,3,4,1,1,1,50,0,1,0,0,0,0,0
Defender,LB,Marc Cucurella,1,False,6.1,-1,90,False,0,0,,1,0,0,84,1,0,0,0.01,0.01,0,0,59,0,2,50,0,0,75,2,0,10,2,2,6,4,60,0,2,2,0,0,0,0
Midfielder,DM,Moisés Caicedo,2,False,6.1,1,89,False,0,0,90,1,0,1,88,2,0.03,0,0.01,0.04,0,1,39,0,1,100,0,0.03,100,1,1,5,6,1,2,4,33,0,0,3,100,0,0,0
Midfielder,DM,Enzo Fernández,2,False,6.3,2,64,False,0,0,64,0,0,1,85,0,0.04,0,0.01,0.05,0,1,52,0,5,50,1,0.04,100,1,0,2,4,2,4,3,57,0,2,0,100,0,0,0
Midfielder,RW,Cole Palmer,4,False,7.8,6,90,False,1,0,,1,0,3,79,1,1.31,1.92,0.04,1.35,100,1,52,4,7,100,1,0.52,100,1,0,2,4,1,3,4,50,0,1,0,50,0,1,0
Midfielder,AM,Conor Gallagher,4,False,8.0,8 + 2,90,False,0,1,,0,0,3,95,2,0.1,0.13,0.1,0.2,67,0,61,1,4,75,0,0.1,67,0,0,8,6,1,6,6,50,0,2,5,100,0,0,100
Midfielder,LW,Raheem Sterling,4,False,8.1,6,90,False,1,0,,1,0,2,60,1,0.45,0.95,0.14,0.59,50,0,55,4,1,0,0,0.45,0,1,1,8,8,2,10,12,48,0,3,3,40,0,0,0
Attacker,ST,Nicolas Jackson,5,False,7.6,5,89,False,1,0,90,1,0,3,50,0,0.68,0.7,0.01,0.69,100,1,23,4,1,0,1,0.68,0,1,1,1,1,0,2,3,25,100,0,0,33,0,0,0
Attacker,ST,Erling Haaland,5,False,9.3,13 + 3,90,False,2,1,,0,0,4,91,3,2.03,2.34,0.03,2.06,75,0,21,9,1,100,0,1.24,0,0,0,2,2,0,3,2,50,100,2,2,0,1,2,0
Midfielder,LW,Jérémy Doku,4,False,6.6,0,59,False,0,0,59,1,0,1,71,0,0.09,0.08,0.07,0.16,100,0,30,11,0,0,2,0.09,100,0,0,3,1,1,6,6,50,0,0,1,57,0,0,0
Midfielder,AM,Bernardo Silva,4,False,7.7,5 + 2,90,False,0,1,,0,0,0,92,2,0,0,0.18,0.18,0,0,69,5,4,100,1,0,50,0,0,3,6,1,3,3,50,0,0,1,100,0,0,17
Midfielder,AM,Julián Álvarez,4,False,7.2,5,79,False,0,1,79,0,0,2,89,2,0.15,0.12,0.09,0.24,100,1,50,8,2,100,2,0.15,0,0,0,1,1,0,1,3,25,0,0,1,100,0,0,29
Midfielder,RW,Phil Foden,4,False,7.7,2,90,False,0,0,,0,0,3,91,1,0.17,0.51,0.14,0.31,67,0,61,5,2,0,1,0.17,100,0,0,4,6,1,8,7,53,0,2,0,50,0,0,100
Midfielder,DM,Manuel Akanji,2,False,8.0,6,90,False,1,0,,0,0,1,93,0,0.29,0.29,0.02,0.31,100,0,73,1,9,60,1,0.29,50,2,1,8,5,0,3,1,75,0,1,0,0,0,0,0
Midfielder,DM,Rodri,2,False,8.3,6,90,False,1,0,,1,0,1,88,3,0.03,0.16,0.09,0.12,100,0,91,1,7,80,1,0.03,0,0,0,7,9,3,4,7,36,0,2,3,100,0,0,0
Defender,CB,Josko Gvardiol,1,False,6.0,0,90,False,0,0,,0,0,1,94,0,0.01,0.03,0.02,0.03,100,0,76,1,10,100,1,0.01,33,0,0,6,7,0,5,3,67,50,1,1,0,0,0,0
Defender,CB,Ruben Dias,1,False,6.3,0,90,False,0,0,,0,0,0,90,0,0,0,0.07,0.07,0,0,99,0,9,50,0,0,100,8,3,11,3,2,3,5,33,50,1,2,0,0,0,100
Defender,CB,Kyle Walker,1,True,6.8,0,90,False,0,0,,0,0,1,83,1,0.07,0,0.02,0.09,0,0,70,1,5,0,0,0.07,33,2,0,9,5,1,4,5,44,0,1,3,0,0,0,0
Keeper,GK,Ederson Moraes,0,False,7.4,1,90,True,0,0,,0,0,0,92,0,0,0,0,0,0,0,51,0,0,70,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0
